City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Amarpur,IN,2022-04-03 10:31:58,25.0333,86.9,102.83,17,1,7.94
244,Mana,GF,2022-04-03 10:31:58,5.6592,-53.7767,78.01,88,100,10.2
245,Tremedal,BR,2022-04-03 10:31:58,-14.9758,-41.4108,72.1,78,31,6.08
246,Churapcha,RU,2022-04-03 10:31:59,62.0025,132.4325,14.23,96,100,4.32
247,Aklavik,CA,2022-04-03 10:31:59,68.2191,-135.0107,-22.2,99,99,3.09
248,Russell,US,2022-04-03 10:31:59,32.3502,-85.1999,49.23,100,0,0.0
249,Airai,TL,2022-04-03 10:31:59,-8.9266,125.4092,60.12,92,47,1.83
250,Nanortalik,GL,2022-04-03 10:32:00,60.1432,-45.2371,36.01,84,99,2.37
251,Ruse,BG,2022-04-03 10:32:00,43.8564,25.9708,54.19,44,44,21.99
252,North Bend,US,2022-04-03 10:32:00,43.4065,-124.2243,42.85,99,20,8.05
253,Bairiki,KI,2022-04-03 10:32:01,1.3292,172.9752,80.6,89,20,8.05
254,Redcar,GB,2022-04-03 10:32:01,54.6166,-1.06,51.35,57,94,4.0
255,Kaitangata,NZ,2022-04-03 10:32:01,-46.2817,169.8464,48.25,95,58,4.54
256,Sorland,NO,2022-04-03 10:32:02,67.667,12.6934,33.78,69,100,35.68
257,Kodiak,US,2022-04-03 10:32:02,57.79,-152.4072,26.11,100,0,5.75
258,Vostok,RU,2022-04-03 10:32:02,46.4856,135.8833,32.45,79,1,7.47
259,Floriano,BR,2022-04-03 10:32:02,-6.7669,-43.0225,77.9,78,84,6.64
260,Lidkoping,SE,2022-04-03 10:32:03,58.5052,13.1577,45.41,42,36,10.8
261,Gambela,ET,2022-04-03 10:32:03,8.25,34.5833,103.46,21,87,8.55
262,Khani,GE,2022-04-03 10:32:03,41.9563,42.9566,71.17,78,83,4.56
263,Sur,OM,2022-04-03 10:32:04,22.5667,59.5289,88.95,43,5,8.99
264,Pringsewu,ID,2022-04-03 10:32:04,-5.3582,104.9744,75.94,92,100,2.17
265,Cururupu,BR,2022-04-03 10:32:04,-1.8283,-44.8683,78.78,90,56,3.98
266,Kjopsvik,NO,2022-04-03 10:32:05,68.097,16.3742,29.17,78,100,8.5
267,Iquique,CL,2022-04-03 10:30:50,-20.2208,-70.1431,60.84,73,26,3.76
268,Olafsvik,IS,2022-04-03 10:32:05,64.8945,-23.7142,40.89,89,100,12.39
269,Fairbanks,US,2022-04-03 10:27:59,64.8378,-147.7164,15.76,78,100,6.91
270,Tieli,CN,2022-04-03 10:32:05,46.95,128.05,53.49,37,0,15.1
271,Honiara,SB,2022-04-03 10:31:46,-9.4333,159.95,78.4,88,95,2.15
272,Dingle,PH,2022-04-03 10:32:06,10.9995,122.6711,79.27,77,99,6.24
273,Azanka,RU,2022-04-03 10:33:06,58.0401,64.7893,36.07,95,100,10.58
274,Asyut,EG,2022-04-03 10:33:06,27.181,31.1837,93.38,4,100,10.89
275,Geraldton,AU,2022-04-03 10:33:07,-28.7667,114.6,77.41,83,75,12.66
276,Souillac,MU,2022-04-03 10:33:07,-20.5167,57.5167,82.78,78,40,17.27
277,Sistranda,NO,2022-04-03 10:33:07,63.7256,8.834,37.36,70,100,13.09
278,Mut,TR,2022-04-03 10:33:08,36.6439,33.4389,75.7,21,59,0.67
279,Saskylakh,RU,2022-04-03 10:33:08,71.9167,114.0833,-2.97,97,100,9.82
280,Wadi Maliz,TN,2022-04-03 10:33:08,36.4681,8.5495,47.86,63,100,5.21
281,Marawi,PH,2022-04-03 10:33:08,7.9986,124.2928,69.42,97,100,2.1
282,Jacksonville Beach,US,2022-04-03 10:33:09,30.2947,-81.3931,60.12,96,0,8.05
283,Mashhad,IR,2022-04-03 10:33:09,36.297,59.6062,80.74,22,0,4.61
284,Wana,PK,2022-04-03 10:33:09,32.2989,69.5725,80.76,5,1,10.89
285,New Norfolk,AU,2022-04-03 10:33:10,-42.7826,147.0587,56.91,84,100,1.3
286,Malakal,SS,2022-04-03 10:30:08,9.5334,31.6605,107.8,15,20,3.24
287,Tabuk,PH,2022-04-03 10:33:10,17.4189,121.4443,72.61,94,98,6.96
288,Przasnysz,PL,2022-04-03 10:33:10,53.0191,20.8803,43.38,32,16,10.22
289,Glendive,US,2022-04-03 10:33:11,47.1053,-104.7125,42.49,90,100,14.0
290,Kieta,PG,2022-04-03 10:33:11,-6.2167,155.6333,79.14,86,99,3.83
291,Tignere,CM,2022-04-03 10:33:11,7.3667,12.65,95.83,18,90,3.38
292,Stabat,ID,2022-04-03 10:33:11,3.761,98.4513,84.4,90,98,3.29
293,Taltal,CL,2022-04-03 10:33:12,-25.4,-70.4833,61.75,73,0,2.53
294,Ponnani,IN,2022-04-03 10:33:12,10.767,75.9252,90.72,69,11,13.02
